precise	question	risk	reason
c:objc(cs)CNContactStore(im)requestAccessForEntityType:completionHandler:	On Darwin, does requestAccess(for:) present a TCC prompt and remain .notDetermined until the user answers, or can it return .authorized with no UI when no address book exists?	privacy	Linux has no TCC. This port grants process-local in-memory access after requestAccess and never claims an Apple privacy prompt or host AddressBook entitlement.
c:objc(cs)CNContactStore(im)requestAccessForEntityType:completionHandler:	On Darwin, is the requestAccess completion handler invoked asynchronously on an arbitrary queue (never re-entering the caller on the same stack), and may a nested requestAccess from that callback complete without deadlock?	privacy	This port always detaches a new thread for the completion after requestAccess returns. ContactsRuntime asserts the callback is not reentrant and that a nested requestAccess from the callback still completes.
c:objc(cs)CNContactStore(im)unifiedContactsMatchingPredicate:keysToFetch:error:	When a host CardDAV/Exchange container is configured, does unifiedContacts merge linked contacts across containers, and what identifier scheme is used for the unified record?	host-store	This port only has a local in-memory container. Unify is identity. No Apple iCloud/CardDAV/Exchange store is attached.
c:@CNLabelContactRelationAuntFathersBrothersWife	Are the extended kinship CNLabelContactRelation* payloads exactly `_$!<Stem>!$_` with the Swift identifier stem, or do some use a different Apple string?	in-memory	Public graphs list names, not byte payloads. Common labels use documented `_$!<Home>!$_` form; extended kinship strings are portable stand-ins pending an Apple oracle.
s:SC11CNErrorCodeLeV26parentContainerNotWritableSoAAVvpZ	Is CNError.Code.parentContainerNotWritable raw value 207 (sequentially after parentRecordDoesNotExist) on iPhoneOS 26.1?	host-store	The SDK headers were not copied into the seed. Other CNError codes follow the public CNError.h layout; this newer code needs a Darwin dump.
s:SC11CNErrorCodeLeV14vCardMalformedSoAAVvpZ	Are CNError.Code.vCardMalformed / vCardSummarizationError / clientIdentifier* / changeHistory* raw values 800/801/600-602/700-702 on iPhoneOS 26.1?	in-memory	Those cases exist so the module compiles. Their Darwin integers are unattested and are not claimed as ABI.
c:objc(cs)CNContactFormatter(cm)stringFromContact:style:	Does CNContactFormatter.string(from:style:) apply locale-specific given/family order, phonetic script handling, and organization punctuation exactly as on iOS 26.1?	in-memory	This port uses a given-name-first join and organization-name for CNContactType.organization. Locale-accurate name ordering is not claimed.
c:objc(cs)CNPostalAddressFormatter(cm)stringFromPostalAddress:style:	Does mailing-address formatting follow country-specific postal layout (line order, commas, postal-code placement) from AddressBookUI/Contacts on Darwin?	in-memory	Linux emits street, city/state/postal code, country lines. It does not ship Apple's country format tables.
c:objc(cs)CNContactVCardSerialization(cm)dataWithContacts:error:	Does Apple's vCard serializer emit VERSION:3.0 with the same property order, grouping, PHOTO encoding, and PHOTO thumbnail rules as this subset encoder?	in-memory	This port writes a deterministic vCard 3.0 subset (N/FN/ORG/TITLE/TEL/EMAIL/ADR/URL/NOTE). Apple-identical bytes are not claimed.
c:objc(cs)CNContact(im)isKeyAvailable:	On Darwin, does reading an unfetched CNContact property raise CNContactPropertyNotFetchedExceptionName, return a default, or fault the property from the store?	in-memory	Linux has no NSException. Unfetched keys report false from isKeyAvailable and currently yield empty defaults rather than raising.
