precise	status	evidence	notes
c:@CM@Contacts@@objc(cs)CNContact(py)id	implemented	full/contacts/CNContact.swift;full/contacts/tests/agent/ContactsRuntime.swift	In-memory Linux behavior exercised by ContactsRuntime.
c:@CNContactBirthdayKey	implemented	full/contacts/tests/agent/ContactsRuntime.swift	Public string constant is part of CNAllPublicStringConstants and exercised by ContactsRuntime.
c:@CNContactDatesKey	implemented	full/contacts/tests/agent/ContactsRuntime.swift	Public string constant is part of CNAllPublicStringConstants and exercised by ContactsRuntime.
c:@CNContactDepartmentNameKey	implemented	full/contacts/tests/agent/ContactsRuntime.swift	Public string constant is part of CNAllPublicStringConstants and exercised by ContactsRuntime.
c:@CNContactEmailAddressesKey	implemented	full/contacts/tests/agent/ContactsRuntime.swift	Public string constant is part of CNAllPublicStringConstants and exercised by ContactsRuntime.
c:@CNContactFamilyNameKey	implemented	full/contacts/tests/agent/ContactsRuntime.swift	Public string constant is part of CNAllPublicStringConstants and exercised by ContactsRuntime.
c:@CNContactGivenNameKey	implemented	full/contacts/tests/agent/ContactsRuntime.swift	Public string constant is part of CNAllPublicStringConstants and exercised by ContactsRuntime.
c:@CNContactIdentifierKey	implemented	full/contacts/tests/agent/ContactsRuntime.swift	Public string constant is part of CNAllPublicStringConstants and exercised by ContactsRuntime.
c:@CNContactImageDataAvailableKey	implemented	full/contacts/tests/agent/ContactsRuntime.swift	Public string constant is part of CNAllPublicStringConstants and exercised by ContactsRuntime.
c:@CNContactImageDataKey	implemented	full/contacts/tests/agent/ContactsRuntime.swift	Public string constant is part of CNAllPublicStringConstants and exercised by ContactsRuntime.
c:@CNContactInstantMessageAddressesKey	implemented	full/contacts/tests/agent/ContactsRuntime.swift	Public string constant is part of CNAllPublicStringConstants and exercised by ContactsRuntime.
c:@CNContactJobTitleKey	implemented	full/contacts/tests/agent/ContactsRuntime.swift	Public string constant is part of CNAllPublicStringConstants and exercised by ContactsRuntime.
