precise	question	risk	reason
c:@F@MTLCreateSystemDefaultDevice	On iPhoneOS 26.1, does MTLCreateSystemDefaultDevice ever return nil, and may a non-Apple software adapter be returned when no Apple GPU is present?	hardware	Linux has no Apple GPU. This port returns a CPU software adapter named OpenUIKit CPU Reference instead of nil; Apple's exact nil-vs-device contract on devices without Metal is not in the pinned graph.
c:@E@MTLGPUFamily	What is the exact raw value of MTLGPUFamily.metal4 and MTLGPUFamily.apple10 in the iPhoneOS 26.1 Metal.framework headers?	abi	The graph lists the cases but not integer values. metal4=5002 and apple10=1010 follow the documented metal3/apple9 sequence and need an Apple-oracle check.
c:@E@MTLPixelFormat@MTLPixelFormatUnspecialized	What is the public raw value of MTLPixelFormat.unspecialized?	abi	The case is in the compact surface but no integer payload is recorded. This port omits the case rather than guess an ABI value.
c:objc(pl)MTLDevice(im)newLibraryWithSource:options:error:	Does makeLibrary(source:options:) on a device that cannot compile AIR produce MTLLibraryError.compileFailure or .unsupported, and does the localized description mention a missing compiler?	gpu	Linux fails closed with compileFailure and the documented string no shader compiler. Apple's exact error code and callback thread for a missing compiler are not observed here.
c:objc(cs)MTLCaptureManager(im)startCaptureWithDescriptor:error:	Does startCapture(with:) on a machine without Xcode GPU capture tools throw MTLCaptureError.notSupported, and is supportsDestination(.developerTools) ever true without an attached debugger?	host-driven	This port always reports no capture destinations. Host-tool attachment behavior is Apple-only.
c:objc(pl)MTLDevice(im)newArgumentEncoderWithArguments:	On Apple GPUs, is the argument-buffer slot stride 16 bytes per index as this Linux encoder uses, or does encodedLength depend on MTLDataType alignment from the AIR ABI?	abi	Linux writes a 16-byte slot per argument index into the bound MTLBuffer. Apple's exact encodedLength formula is not in the pinned graph.
c:objc(pl)MTLDevice(im)newIndirectCommandBufferWithDescriptor:maxCommandCount:options:	When indirect command buffers are supported, does makeIndirectCommandBuffer return a resource whose size equals maxCommandCount, and do compute executeCommandsInBuffer overlays run the recorded dispatches on the same queue as the encoder?	gpu	Linux stores ICB commands as CPU data and executes CPU-builtin kernels on commit. Apple GPU execution, inheritance flags, and tessellation/mesh ICB draws are not observed.
c:@E@MTLDataType	Are MTLDataType cases added after the Metal.h integer block in iPhoneOS 26.1 assigned stable raw values matching this overlay, including tensor and acceleration-structure cases?	abi	Newer graph cases were given sequential values after the documented Metal.h block and need an Apple-oracle check before ABI lock.
module	What is the exact bit layout of MTLStages / MTLRenderStages in iPhoneOS 26.1, including MTLStageAll?	abi	The graph names the options but not the bit constants. Sequential powers of two are used as a Linux stand-in until observed.
c:objc(pl)MTLSharedEvent(im)notifyListener:atValue:block:	On iPhoneOS 26.1, does notify(_:atValue:block:) invoke the block on the MTLSharedEventListener dispatch queue, and may wait(untilSignaledValue:timeoutMS:) return on a non-queue thread?	host-driven	Linux fires listeners synchronously on the signaling thread so tests do not hang without a run loop. Apple's queue/thread contract is not observed.
c:objc(pl)MTLTexture(im)newTextureViewWithPixelFormat:	Which pixel-format pairs are view-compatible on Apple GPUs (same bytes-per-pixel vs an explicit compatibility table), including sRGB/linear and depth/float aliases?	gpu	Linux allows a view when metalBytesPerPixel matches. Apple's compressed-format and sRGB view rules are not in the graph.
c:objc(pl)MTLCommandBuffer(im)parallelRenderCommandEncoderWithDescriptor:	On iPhoneOS 26.1, may makeParallelRenderCommandEncoder be used from one thread, and does each child renderCommandEncoder apply load actions independently or only the first child?	gpu	Linux creates child encoders on the same command buffer and applies CPU load/store when a child ends. Apple's thread-safety and load-once contract are not observed.
c:objc(pl)MTLResourceStateCommandEncoder(im)updateTextureMapping:mode:region:mipLevel:slice:	Does updateTextureMapping on a device that reports no sparse textures produce MTLCommandBufferError.notPermitted, .invalidResource, or a successful no-op?	hardware	Linux fails closed with notPermitted because the CPU reference is not a sparse GPU. Apple's error for an unmapped sparse update is not in the graph.
c:@E@MTL4RenderEncoderOptions	Are MTL4RenderEncoderOptions.suspending and .resuming bits 0 and 1 in iPhoneOS 26.1, and is MTL4ShaderReflection.bindingInfo the same bit as MTLPipelineOption.argumentInfo?	abi	Linux uses sequential powers of two for Metal 4 option sets. The pinned graph names the cases but not integer payloads.
c:@E@MTLAccelerationStructureUsage	Does iPhoneOS 26.1 assign preferFastIntersection as bit 3 and minimizeMemory as bit 4 of MTLAccelerationStructureUsage after the documented refit/preferFastBuild/extendedLimits bits?	abi	Those later cases are in the compact surface without integer values. This overlay continues the documented power-of-two sequence.
c:objc(cs)MTLMeshRenderPipelineDescriptor	On Apple GPUs, does makeRenderPipelineState(descriptor:options:) with an MTLMeshRenderPipelineDescriptor that has nil object/mesh functions throw MTLLibraryError.compileFailure, an invalid-descriptor validation error, or succeed with an empty mesh pipeline?	gpu	Linux throws compileFailure with no shader compiler. Apple's mesh-pipeline validation for a software/missing-AIR device is not observed.
c:objc(pl)MTLDevice(im)accelerationStructureSizesWithDescriptor:	Does accelerationStructureSizes on a device with supportsRaytracing == false return all-zero MTLAccelerationStructureSizes, throw, or report a minimum scratch size?	hardware	Linux returns zeros because the CPU reference is not a ray-tracing GPU. Apple's sizes for an unsupported RT device are not in the graph.
