precise	status	evidence	notes
c:@E@MKAddressFilterOption	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testAddressFilterOptions	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAddressFilterOption@MKAddressFilterOptionAdministrativeArea	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testAddressFilterOptions	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAddressFilterOption@MKAddressFilterOptionCountry	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testAddressFilterOptions	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAddressFilterOption@MKAddressFilterOptionLocality	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testAddressFilterOptions	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAddressFilterOption@MKAddressFilterOptionPostalCode	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testAddressFilterOptions	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAddressFilterOption@MKAddressFilterOptionSubAdministrativeArea	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testAddressFilterOptions	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAddressFilterOption@MKAddressFilterOptionSubLocality	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testAddressFilterOptions	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAddressRepresentationsContextStyle	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAddressRepresentationsContextStyle@MKAddressRepresentationsContextStyleAutomatic	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAddressRepresentationsContextStyle@MKAddressRepresentationsContextStyleFull	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAddressRepresentationsContextStyle@MKAddressRepresentationsContextStyleShort	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAnnotationViewCollisionMode	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAnnotationViewCollisionMode@MKAnnotationViewCollisionModeCircle	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAnnotationViewCollisionMode@MKAnnotationViewCollisionModeNone	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAnnotationViewCollisionMode@MKAnnotationViewCollisionModeRectangle	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAnnotationViewDragState	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAnnotationViewDragState@MKAnnotationViewDragStateCanceling	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAnnotationViewDragState@MKAnnotationViewDragStateDragging	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAnnotationViewDragState@MKAnnotationViewDragStateEnding	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAnnotationViewDragState@MKAnnotationViewDragStateNone	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKAnnotationViewDragState@MKAnnotationViewDragStateStarting	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDirectionsRoutePreference	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDirectionsRoutePreference@MKDirectionsRoutePreferenceAny	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDirectionsRoutePreference@MKDirectionsRoutePreferenceAvoid	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDirectionsTransportType	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testTransportOptionSet	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDirectionsTransportType@MKDirectionsTransportTypeAny	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testTransportOptionSet	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDirectionsTransportType@MKDirectionsTransportTypeAutomobile	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testTransportOptionSet	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDirectionsTransportType@MKDirectionsTransportTypeCycling	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testTransportOptionSet	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDirectionsTransportType@MKDirectionsTransportTypeTransit	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testTransportOptionSet	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDirectionsTransportType@MKDirectionsTransportTypeWalking	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testTransportOptionSet	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDistanceFormatterUnitStyle	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testDistanceFormatter	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDistanceFormatterUnitStyle@MKDistanceFormatterUnitStyleAbbreviated	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testDistanceFormatter	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDistanceFormatterUnitStyle@MKDistanceFormatterUnitStyleDefault	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testDistanceFormatter	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDistanceFormatterUnitStyle@MKDistanceFormatterUnitStyleFull	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testDistanceFormatter	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDistanceFormatterUnits	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testDistanceFormatter	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDistanceFormatterUnits@MKDistanceFormatterUnitsDefault	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testDistanceFormatter	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDistanceFormatterUnits@MKDistanceFormatterUnitsImperial	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testDistanceFormatter	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDistanceFormatterUnits@MKDistanceFormatterUnitsImperialWithYards	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testDistanceFormatter	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKDistanceFormatterUnits@MKDistanceFormatterUnitsMetric	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testDistanceFormatter	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKErrorCode	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testErrorCodes	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKErrorCode@MKErrorDecodingFailed	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testErrorCodes	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKErrorCode@MKErrorDirectionsNotFound	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testErrorCodes	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKErrorCode@MKErrorLoadingThrottled	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testErrorCodes	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKErrorCode@MKErrorPlacemarkNotFound	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testErrorCodes	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKErrorCode@MKErrorServerFailure	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testErrorCodes	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKErrorCode@MKErrorUnknown	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testErrorCodes	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKFeatureVisibility	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKFeatureVisibility@MKFeatureVisibilityAdaptive	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKFeatureVisibility@MKFeatureVisibilityHidden	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKFeatureVisibility@MKFeatureVisibilityVisible	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKLocalSearchCompleterResultType	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testLocalSearchResultTypes	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKLocalSearchCompleterResultType@MKLocalSearchCompleterResultTypeAddress	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testLocalSearchResultTypes	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKLocalSearchCompleterResultType@MKLocalSearchCompleterResultTypePhysicalFeature	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testLocalSearchResultTypes	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKLocalSearchCompleterResultType@MKLocalSearchCompleterResultTypePointOfInterest	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testLocalSearchResultTypes	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKLocalSearchCompleterResultType@MKLocalSearchCompleterResultTypeQuery	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testLocalSearchResultTypes	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKLocalSearchRegionPriority	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKLocalSearchRegionPriority@MKLocalSearchRegionPriorityDefault	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKLocalSearchRegionPriority@MKLocalSearchRegionPriorityRequired	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKLocalSearchResultType	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testLocalSearchResultTypes	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKLocalSearchResultType@MKLocalSearchResultTypeAddress	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testLocalSearchResultTypes	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKLocalSearchResultType@MKLocalSearchResultTypePhysicalFeature	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testLocalSearchResultTypes	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKLocalSearchResultType@MKLocalSearchResultTypePointOfInterest	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testLocalSearchResultTypes	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKLookAroundBadgePosition	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKLookAroundBadgePosition@MKLookAroundBadgePositionBottomTrailing	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKLookAroundBadgePosition@MKLookAroundBadgePositionTopLeading	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKLookAroundBadgePosition@MKLookAroundBadgePositionTopTrailing	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapElevationStyle	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapElevationStyle@MKMapElevationStyleFlat	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapElevationStyle@MKMapElevationStyleRealistic	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapFeatureOptions	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapFeatureOptions	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapFeatureOptions@MKMapFeatureOptionPhysicalFeatures	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapFeatureOptions	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapFeatureOptions@MKMapFeatureOptionPointsOfInterest	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapFeatureOptions	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapFeatureOptions@MKMapFeatureOptionTerritories	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapFeatureOptions	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapFeatureType	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapFeatureType@MKMapFeatureTypePhysicalFeature	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapFeatureType@MKMapFeatureTypePointOfInterest	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapFeatureType@MKMapFeatureTypeTerritory	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapItemDetailSelectionAccessoryCalloutStyle	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapItemDetailSelectionAccessoryCalloutStyle@MKMapItemDetailSelectionAccessoryCalloutStyleAutomatic	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapItemDetailSelectionAccessoryCalloutStyle@MKMapItemDetailSelectionAccessoryCalloutStyleCompact	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapItemDetailSelectionAccessoryCalloutStyle@MKMapItemDetailSelectionAccessoryCalloutStyleFull	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapType	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapType@MKMapTypeHybrid	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapType@MKMapTypeHybridFlyover	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapType@MKMapTypeMutedStandard	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapType@MKMapTypeSatellite	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapType@MKMapTypeSatelliteFlyover	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKMapType@MKMapTypeStandard	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKOverlayLevel	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKOverlayLevel@MKOverlayLevelAboveLabels	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKOverlayLevel@MKOverlayLevelAboveRoads	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKPinAnnotationColor	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKPinAnnotationColor@MKPinAnnotationColorGreen	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKPinAnnotationColor@MKPinAnnotationColorPurple	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKPinAnnotationColor@MKPinAnnotationColorRed	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKScaleViewAlignment	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKScaleViewAlignment@MKScaleViewAlignmentCenter	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKScaleViewAlignment@MKScaleViewAlignmentLeading	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKScaleViewAlignment@MKScaleViewAlignmentTrailing	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKSearchCompletionFilterType	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKSearchCompletionFilterType@MKSearchCompletionFilterTypeLocationsAndQueries	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKSearchCompletionFilterType@MKSearchCompletionFilterTypeLocationsOnly	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKStandardMapEmphasisStyle	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKStandardMapEmphasisStyle@MKStandardMapEmphasisStyleDefault	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKStandardMapEmphasisStyle@MKStandardMapEmphasisStyleMuted	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKUserTrackingMode	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
c:@E@MKUserTrackingMode@MKUserTrackingModeFollow	implemented	test:full/mapkit/tests/agent/MapKitTypesTests.swift#testMapTypeAndVisibilityEnums	Focused Linux host evidence; not Apple-runtime parity.
