precise	status	evidence	notes
s:011_SwiftData_A2UI13ModelDocumentV	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5Query11transactiony0aC011TransactionV_tcfm	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5Query6filter4sort11transactiony10Foundation9PredicateVyx_QPGSg_SayAF14SortDescriptorVyxGG0aC011TransactionVSgtc0aB015PersistentModelRzlufm	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5Query6filter4sort5order11transactiony10Foundation9PredicateVyq__QPGSg_s7KeyPathCyq_xGAG9SortOrderO0aC011TransactionVSgtcSLRz0aB015PersistentModelR_r0_lufm	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5Query6filter4sort5order11transactiony10Foundation9PredicateVyq__QPGSg_s7KeyPathCyq_xSgGAG9SortOrderO0aC011TransactionVSgtcSLRz0aB015PersistentModelR_r0_lufm	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5Query6filter4sort5order9animationy10Foundation9PredicateVyq__QPGSg_s7KeyPathCyq_xGAG9SortOrderO0aC09AnimationVtcSLRz0aB015PersistentModelR_r0_lufm	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5Query6filter4sort5order9animationy10Foundation9PredicateVyq__QPGSg_s7KeyPathCyq_xSgGAG9SortOrderO0aC09AnimationVtcSLRz0aB015PersistentModelR_r0_lufm	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5Query6filter4sort9animationy10Foundation9PredicateVyx_QPGSg_SayAF14SortDescriptorVyxGG0aC09AnimationVtc0aB015PersistentModelRzlufm	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5Query9animationy0aC09AnimationV_tcfm	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5QueryV	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5QueryV10fetchErrors0F0_pSgvp	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5QueryV12modelContext0aB005ModelF0Cvp	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5QueryV12wrappedValueq_vp	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5QueryV6filter4sort11transactionACyxSayxGG10Foundation9PredicateVyx_QPGSg_SayAI14SortDescriptorVyxGG0aC011TransactionVSgtcAGRs_rlufc	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5QueryV6filter4sort5order11transactionACyxSayxGG10Foundation9PredicateVyx_QPGSg_s7KeyPathCyxqd__GAJ9SortOrderO0aC011TransactionVSgtcAHRs_SLRd__lufc	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5QueryV6filter4sort5order11transactionACyxSayxGG10Foundation9PredicateVyx_QPGSg_s7KeyPathCyxqd__SgGAJ9SortOrderO0aC011TransactionVSgtcAHRs_SLRd__lufc	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5QueryV6filter4sort5order9animationACyxSayxGG10Foundation9PredicateVyx_QPGSg_s7KeyPathCyxqd__GAJ9SortOrderO0aC09AnimationVtcAHRs_SLRd__lufc	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5QueryV6filter4sort5order9animationACyxSayxGG10Foundation9PredicateVyx_QPGSg_s7KeyPathCyxqd__SgGAJ9SortOrderO0aC09AnimationVtcAHRs_SLRd__lufc	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5QueryV6filter4sort9animationACyxSayxGG10Foundation9PredicateVyx_QPGSg_SayAI14SortDescriptorVyxGG0aC09AnimationVtcAGRs_rlufc	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5QueryV6updateyyF	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5QueryV_11transactionACyxSayxGG0aB015FetchDescriptorVyxG_0aC011TransactionVSgtcAERs_rlufc	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5QueryV_9animationACyxSayxGG0aB015FetchDescriptorVyxG_0aC09AnimationVtcAERs_rlufc	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5Query_11transactiony0aB015FetchDescriptorVyxG_0aC011TransactionVSgtcAD15PersistentModelRzlufm	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5Query_9animationy0aB015FetchDescriptorVyxG_0aC09AnimationVtcAD15PersistentModelRzlufm	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:011_SwiftData_A2UI5Queryyycfm	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:7SwiftUI10AppStorageV01_a5Data_aB0E12wrappedValue_5storeACy0aE020PersistentIdentifierVGAI_SSSo14NSUserDefaultsCSgtcAIRszlufc	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:7SwiftUI10AppStorageV01_a5Data_aB0E_5storeACy0aE020PersistentIdentifierVSgGSS_So14NSUserDefaultsCSgtcAIRszlufc	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:7SwiftUI12SceneStorageV01_a5Data_aB0E12wrappedValue_ACy0aE020PersistentIdentifierVGAH_SStcAHRszlufc	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
s:7SwiftUI12SceneStorageV01_a5Data_aB0EyACy0aE020PersistentIdentifierVSgGSScAHRszlufc	deferred		SwiftUI overlay member. Isolated Linux host compilation imports Foundation only; Apple Query/View/Scene/DocumentGroup behavior is unobserved.
