precise	question	risk	reason
s:10AppIntents0A6IntentP7perform13PerformResultQzyYaKF	On Apple, does AppIntent.perform() hop to a private serial queue before invoking the user implementation, and is donation implicit on success?	fail-closed	Linux runs perform() in-process on the caller. Implicit Shortcuts donation, queue identity, and exactly-once delivery are unobserved.
s:10AppIntents21IntentDonationManagerV	Does Apple persist donate() identifiers across process launches, and which daemon owns the matching-predicate delete?	fail-closed	Linux keeps a process-local list and never claims Shortcuts daemon persistence.
s:10AppIntents0A6IntentPAAE19requestConfirmationyyYaKF	Does requestConfirmation() present a system sheet and resume perform() after the user confirms, and on which actor?	ui	Public inputs declare the API but not sheet UI, cancellation, or resume timing. Linux throws unsupportedOnDevice.
s:10AppIntents15IntentParameterC12wrappedValuexvp	When an unset non-optional IntentParameter is read during perform(), does Apple throw needsValueError or trap?	fail-closed	Linux traps with a precondition. The Apple error payload and dialog association are unobserved.
s:10AppIntents16EntityIdentifierV08activityD0ACSgSS_tcfc	What is Apple's activityIdentifier encoding (type name, separator, escaping) for EntityIdentifier.init?(activityIdentifier:)?	fail-closed	Linux accepts a non-empty string and stores type "activity". Apple's packing is unobserved, so a round trip against NSUserActivity is not claimed.
s:10AppIntents0A17DependencyManagerC5ErrorO016failedToRetrieveC0yAEy_xGs11AnyHashableV_xmtcAGmlF	Does missing AppDependency.wrappedValue crash the process on Apple, and is AppDependencyManager.Error.failedToRetrieveDependency ever thrown to user code?	fail-closed	Linux get() throws failedToRetrieveDependency instead of crashing; wrappedValue uses a default when one was supplied, otherwise traps. Apple's crash-versus-throw split is unobserved.
s:10AppIntents0A17ShortcutsProviderPAAE06updateA18ShortcutParametersyyFZ	Does Apple's updateAppShortcutParameters() re-extract DynamicOptionsProvider results into the Shortcuts database, and on which queue?	fail-closed	Linux is a documented no-op. There is no Shortcuts daemon to refresh.
c:@M@_AppIntents_UIKit@objc(cs)SiriTipUIView	Does SiriTipUIView sizeThatFits: match UIKit Auto Layout intrinsic size, and does isPresented animate?	ui	The isolated host has no UIKit. The lookalike stores flags only; layout and animation are Apple UI.
s:19_AppIntents_SwiftUI11SiriTipViewV	Does SiriTipView render a system Siri tip and honor isVisible bindings without an App Intents metadata extract?	ui	Linux emits an EmptyView body. Presentation, styling, and metadata extraction are Apple UI services.
s:10AppIntents16ComputedPropertyyycfm	Does the ComputedProperty macro emit $ and _ peers with the same indexing-key USRs as a handwritten EntityProperty?	fail-closed	Macros require a compiler plugin that this Linux lane does not ship. Handwritten EntityProperty is not a substitute for the macro expansion.
