precise	question	risk	reason
s:So11NLTokenizerC15NaturalLanguageE6tokens3forSaySnySS5IndexVGGAH_tF	Does Apple's NLTokenizer word unit follow ICU word-break (hyphenation, contractions, CJK morphology) or Unicode property runs like this Linux tokenizer?	fail-closed	Linux splits on Character letter/number/whitespace/punctuation classes. Apple's CFStringTokenizer/ICU behavior is unobserved on this host.
s:So8NLTaggerC15NaturalLanguageE3tag2at4unit6schemeSo5NLTagaSg_SnySS5IndexVGtAL_So11NLTokenUnitVSo0H6SchemeatF	For lexicalClass, lemma, nameType, and sentimentScore, which schemes require downloaded assets, and what does tag(at:) return when assets are missing?	fail-closed	Linux implements tokenType, language, and script locally and returns nil for model-backed schemes. Apple asset presence and POS/NER/sentiment outputs need an Apple oracle.
c:@NLTagWord	What are the exact CFString payloads of NLTag / NLTagScheme constants on Apple 26.1 (Word vs NLTagWord, TokenType vs NLTagSchemeTokenType)?	fail-closed	Linux uses the NSLinguisticTag string payloads (Word, TokenType, …) because NaturalLanguage replaced that API. The seed graphs name the constants but not the runtime strings.
c:@NLScriptLatin	Are NLScript raw values the ISO 15924 codes (Latn, Cyrl, Hans, Jpan, …) including Zyyy for undetermined?	fail-closed	Linux uses ISO 15924. Bindings record Field names only; Apple runtime strings are unobserved.
s:So20NLLanguageRecognizerC15NaturalLanguageE18languageHypotheses11withMaximumSDySo0A0aSdGSi_tF	Does languageHypotheses(withMaximum: 0) return an empty dictionary or all hypotheses?	fail-closed	This lane keeps the existing portable classifier's empty-dictionary behavior for a non-positive maximum. Apple 26.1 IceCubes consumers pass 1; max-zero is unobserved.
c:objc(cs)NLEmbedding(cm)wordEmbeddingForLanguage:	What integer does currentRevision(for:) return for English word embeddings on Apple 26.1, and does wordEmbedding(for:) ever return a non-nil model without assets?	fail-closed	Linux returns nil / revision 0 / empty IndexSet because Apple embedding tables are absent. Custom JSON embeddings written by write(_:language:revision:to:) are a Linux-local format, not Apple's binary embedding file.
c:objc(cs)NLGazetteer(im)initWithData:error:	What is Apple's on-disk NLGazetteer binary layout, and does init(data:) accept a property-list or a private format?	fail-closed	Linux reads and writes a documented JSON gazetteer (nlGazetteerFormat=1). Apple gazetteer files would fail closed as unsupported.
s:So8NLTaggerC15NaturalLanguageE14setOrthography_5rangeySo13NSOrthographyC_SnySS5IndexVGtF	When NSOrthography is present, does setOrthography override script/language tagging for that range, and which keys does the tagger read?	fail-closed	NSOrthography is unavailable in swift-corelibs-foundation, so the method is omitted rather than stubbed against a lookalike type.
c:objc(cs)NLModel(cm)modelWithMLModel:error:	Does init(mlModel:) copy the MLModel, retain it, or fail when the model is not a Create ML text classifier/sequence tagger?	fail-closed	CoreML is not a declared dependency of this seed. The isolated host cannot import MLModel.
c:objc(cs)NLTagger(cm)requestAssetsForLanguage:tagScheme:completionHandler:	On Darwin, which queue invokes the requestAssets completion, and does tokenType/language/script still report .available without a network asset download?	ui	Linux returns .available for locally implemented schemes and .notAvailable otherwise, synchronously via async. Apple download UI, queue, and error payloads are unobserved.
module	Must NLLanguage.mongolian / .punjabi raw values be mn / pa or script-tagged mn-Mong / pa-Guru to match Apple 26.1 constants?	fail-closed	The existing IceCubes-proven classifier uses mn and pa. Apple header string payloads for those two constants are not in the seed bytes.
