precise	status	evidence	notes
c:@E@nw_parameters_attribution_t	implemented	test:full/network/tests/agent/NetworkTests.swift#testCEnumRawValuesFromMacios	-
c:@E@nw_parameters_attribution_t@nw_parameters_attribution_developer	implemented	test:full/network/tests/agent/NetworkTests.swift#testCEnumRawValuesFromMacios	-
c:@E@nw_parameters_attribution_t@nw_parameters_attribution_user	implemented	test:full/network/tests/agent/NetworkTests.swift#testCEnumRawValuesFromMacios	-
c:@EA@nw_browser_state_t	implemented	test:full/network/tests/agent/NetworkTests.swift#testCEnumRawValuesFromMacios	-
c:@EA@nw_browser_state_t@nw_browser_state_cancelled	implemented	test:full/network/tests/agent/NetworkTests.swift#testCEnumRawValuesFromMacios	-
c:@EA@nw_browser_state_t@nw_browser_state_failed	implemented	test:full/network/tests/agent/NetworkTests.swift#testCEnumRawValuesFromMacios	-
c:@EA@nw_browser_state_t@nw_browser_state_invalid	implemented	test:full/network/tests/agent/NetworkTests.swift#testCEnumRawValuesFromMacios	-
c:@EA@nw_browser_state_t@nw_browser_state_ready	implemented	test:full/network/tests/agent/NetworkTests.swift#testCEnumRawValuesFromMacios	-
c:@EA@nw_browser_state_t@nw_browser_state_waiting	implemented	test:full/network/tests/agent/NetworkTests.swift#testCEnumRawValuesFromMacios	-
c:@EA@nw_connection_group_state_t	implemented	test:full/network/tests/agent/NetworkTests.swift#testCEnumRawValuesFromMacios	-
c:@EA@nw_connection_group_state_t@nw_connection_group_state_cancelled	implemented	test:full/network/tests/agent/NetworkTests.swift#testCEnumRawValuesFromMacios	-
c:@EA@nw_connection_group_state_t@nw_connection_group_state_failed	implemented	test:full/network/tests/agent/NetworkTests.swift#testCEnumRawValuesFromMacios	-
c:@EA@nw_connection_group_state_t@nw_connection_group_state_invalid	implemented	test:full/network/tests/agent/NetworkTests.swift#testCEnumRawValuesFromMacios	-
c:@EA@nw_connection_group_state_t@nw_connection_group_state_ready	implemented	test:full/network/tests/agent/NetworkTests.swift#testCEnumRawValuesFromMacios	-
c:@EA@nw_connection_group_state_t@nw_connection_group_state_waiting	implemented	test:full/network/tests/agent/NetworkTests.swift#testCEnumRawValuesFromMacios	-
c:@EA@nw_connection_state_t	implemented	test:full/network/tests/agent/NetworkTests.swift#testCEnumRawValuesFromMacios	-
c:@EA@nw_connection_state_t@nw_connection_state_cancelled	implemented	test:full/network/tests/agent/NetworkTests.swift#testCEnumRawValuesFromMacios	-
