precise	question	risk	reason
c:@NSFileProviderErrorDomain	What is the exact runtime string of NSFileProviderErrorDomain on iPhoneOS 26.1?	host-service	The public graph names the constant but does not record the string payload; Linux uses the ObjC symbol name until an Apple-oracle probe.
c:@E@NSFileProviderErrorCode@NSFileProviderErrorApplicationExtensionNotFound	What is the numeric raw value of NSFileProviderErrorApplicationExtensionNotFound on iPhoneOS 26.1?	extension	The case is in the public graph without a raw value; this port uses -1019 following the documented -1000 series and skipping -1014 (versionNoLongerAvailable, absent from this surface).
c:objc(cs)NSFileProviderExtension(cm)placeholderURLForURL:	How does NSFileProviderExtension.placeholderURL(for:) construct the placeholder URL on iPhoneOS 26.1?	storage	SDK header bytes are absent; the Linux port appends a .placeholder path extension as a URL transform only and does not claim Apple placeholder-file identity.
c:objc(cs)NSFileProviderItemVersion(cpy)beforeFirstSyncComponent	What are the exact bytes of NSFileProviderItemVersion.beforeFirstSyncComponent?	storage	The graph only types the property as Data; Linux uses empty Data as a portable sentinel.
c:@NSFileProviderInitialPageSortedByName	What are the exact NSData bytes of NSFileProviderInitialPageSortedByName and SortedByDate?	storage	The graph types the sentinels as NSData without payload; Linux uses UTF-8 of the ObjC symbol names so equality is stable inside this port only.
c:objc(cs)NSFileProviderManager(cm)addDomain:completionHandler:	Does add(_ domain) on iPhoneOS require a registered File Provider appex, and is NSFileProviderDomainDidChange posted only after fileproviderd accepts the domain?	host-service	Linux add/remove persist a process-local JSON registry and post fileProviderDomainDidChange from that host; Apple daemon/appex gating is unobserved.
c:objc(cs)NSFileProviderManager(im)getUserVisibleURLForItemIdentifier:completionHandler:	What path and error code does getUserVisibleURL(for:) return for a replicated item on iPhoneOS 26.1?	privacy	Linux maps identifiers onto a local documents mount; Apple's user-visible location is privacy-gated by the system File Provider and is not observed here.
c:objc(pl)NSFileProviderItem(py)contentType	Is NSFileProviderItem.contentType a UniformTypeIdentifiers.UTType in the FileProvider overlay when UniformTypeIdentifiers is linked?	extension	Isolated host-gate compilation has no UniformTypeIdentifiers module; contentType is deferred there and compiled only in a dependency-complete EC2 configuration.
c:objc(pl)NSFileProviderServiceSource(im)makeListenerEndpointAndReturnError:	Does FileProvider re-export Foundation.NSXPCListenerEndpoint, or must clients use Foundation.NSXPCListenerEndpoint directly?	host-service	The type is Foundation-owned; this module does not declare a local NSXPCListenerEndpoint. The protocol requirement is compiled only when guest Foundation vends the type.
c:objc(cs)NSFileProviderManager(im)getServiceWithName:itemIdentifier:completionHandler:	Is NSFileProviderService a FileProvider-owned class or a Foundation type used only in FileProvider signatures?	host-service	The canonical FileProvider graph has no NSFileProviderService type identifier; getService fail-closes without fabricating a local service class.
c:objc(cs)NSFileProviderManager(im)listAvailableTestingOperationsWithError:	Does listAvailableTestingOperations require a testing-mode domain entitlement, and which operations are returned on iPhoneOS 26.1?	host-service	Linux returns the declared testing-operation protocol shapes only when a domain's testingModes include alwaysEnabled or interactive; Apple's entitlement and operation inventory are unobserved.
c:objc(pl)NSFileProviderReplicatedExtension(im)createItemBasedOnTemplate:fields:contents:options:request:completionHandler:	When createItem reports a filename collision on iPhoneOS, which remainingFields and shouldFetchContent values accompany NSFileProviderErrorFilenameCollision?	storage	Linux returns nil item, empty remaining fields, shouldFetchContent false, and a collision error; Apple's remaining-field contract is unobserved.
module	Should a Linux File Provider host materialize user-visible copies under the port documents directory, or must content remain provider-private until a real Files.app mount exists?	privacy	This pass writes local mount copies for getUserVisibleURL; whether that matches Apple's materialized-set policy is an oracle question.
