precise	question	risk	reason
c:objc(cs)SFContentBlockerManager(cm)getStateOfContentBlockerWithIdentifier:completionHandler:	On iPhoneOS 26.1, which queue invokes getStateOfContentBlocker, and does a missing extension produce SFError.noExtensionFound, a nil state with nil error, or some other payload?	fail-closed	Linux hops to a private serial queue and always reports SafariServicesPortableError.contentBlockerServiceUnavailable. Apple's error identity, userInfo, and callback queue are unobserved.
c:objc(cs)SFContentBlockerManager(cm)reloadContentBlockerWithIdentifier:completionHandler:	Does Apple's async throws overlay of reloadContentBlocker share the completion-handler path, and which SFError.Code is used when no extension exists?	fail-closed	The sealed graph shows only the async throws Swift signature. Linux implements both the completion-handler implementation and the async overlay; both fail closed with a portable error, not an observed SFError code.
c:objc(cs)SFAuthenticationSession(im)start	If start() returns false because the session cannot be presented, does Apple still invoke the completion handler, and with which SFAuthenticationError?	ui	Linux returns false and never calls the handler. Calling canceledLogin on a failed start would invent callback timing.
c:objc(cs)SSReadingList(cm)defaultReadingList	Does Apple return nil from SSReadingList.default() when the Reading List service is unavailable, or a usable object whose addItem fails?	fail-closed	Linux returns a non-nil handle so scheme validation can run. That is host policy, not an Apple-oracle observation.
c:objc(cs)SSReadingList(im)addReadingListItemWithURL:title:previewText:error:	For an http(s) URL, which error domain/code does Apple produce when the Reading List service cannot persist the item?	fail-closed	Unsupported schemes throw SSReadingListError.urlSchemeNotAllowed (raw 1, from pinned bindings). Allowed schemes throw SafariServicesPortableError because SSReadingListError has no service-unavailable code.
c:objc(cs)SFSafariViewControllerConfiguration(py)entersReaderIfAvailable	What are Apple's defaults for entersReaderIfAvailable and barCollapsingEnabled on a freshly allocated Configuration?	ui	This port keeps the previous lane defaults (false / true). They are not Apple-runtime observations.
c:objc(cs)SFSafariViewController(py)preferredBarTintColor	What is the default preferredBarTintColor / preferredControlTintColor on Apple, and does assigning them from a background queue hop to main?	ui	UIColor is UIKit-owned; the isolated host omits the properties. Darwin/OpenUIKit builds still declare them.
c:objc(cs)SFSafariViewControllerDataStore(im)clearWebsiteDataWithCompletionHandler:	Does Apple invoke the clearWebsiteData completion on the main queue, and is an empty store still a successful no-error completion?	fail-closed	Linux treats the local store as empty and invokes the completion after return on a private serial queue. Queue identity and Apple's empty-store behavior are unobserved.
c:@SFExtensionMessageKey	What are the exact runtime string values of SFExtensionMessageKey and SFExtensionProfileKey on iPhoneOS 26.1?	fail-closed	This port uses the exported symbol / macios Field names. TBD records the symbols, not the payload strings.
module	Which queue or actor delivers SFSafariViewControllerDelegate callbacks (didCompleteInitialLoad, didFinish, willOpenInBrowser) on Apple, and are they always MainActor?	ui	The class is @MainActor in the sealed graph. Linux reports portable initial-load failure only when the host calls reportPortableInitialLoadFailure(); Safari never starts a load.
