precise	status	evidence	notes
s:16AdAttributionKit0abC5ErrorO	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitErrorTests.swift#testErrorCases	Nine graph cases are constructible.
s:16AdAttributionKit0abC5ErrorO07missingB4ViewyA2CmF	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitErrorTests.swift#testErrorCases	Case missingAttributionView.
s:16AdAttributionKit0abC5ErrorO11descriptionSSvp	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitErrorTests.swift#testErrorDescription	Linux returns the Swift case name. Darwin copy is unobserved.
s:16AdAttributionKit0abC5ErrorO17impressionExpiredyA2CmF	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitErrorTests.swift#testErrorCases	Case impressionExpired.
s:16AdAttributionKit0abC5ErrorO20invalidConversionTagyA2CmF	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitErrorTests.swift#testErrorCases	Case invalidConversionTag.
s:16AdAttributionKit0abC5ErrorO25conversionTagNotSupportedyA2CmF	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitErrorTests.swift#testErrorCases	Case conversionTagNotSupported.
s:16AdAttributionKit0abC5ErrorO26invalidImpressionJWSHeaderyA2CmF	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitErrorTests.swift#testErrorCases	Case invalidImpressionJWSHeader.
s:16AdAttributionKit0abC5ErrorO27invalidImpressionJWSPayloadyA2CmF	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitErrorTests.swift#testErrorCases	Case invalidImpressionJWSPayload.
s:16AdAttributionKit0abC5ErrorO29invalidImpressionJWSSignatureyA2CmF	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitErrorTests.swift#testErrorCases	Case invalidImpressionJWSSignature.
s:16AdAttributionKit0abC5ErrorO2eeoiySbAC_ACtFZ	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitErrorTests.swift#testErrorEquatable	Distinct cases compare unequal.
s:16AdAttributionKit0abC5ErrorO30invalidImpressionJWSComponentsyA2CmF	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitErrorTests.swift#testErrorCases	Case invalidImpressionJWSComponents.
s:16AdAttributionKit0abC5ErrorO4hash4intoys6HasherVz_tF	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitErrorTests.swift#testErrorHashable	hash(into:) over every case.
s:16AdAttributionKit0abC5ErrorO7unknownyA2CmF	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitErrorTests.swift#testErrorCases	Case unknown.
s:16AdAttributionKit0abC5ErrorO9hashValueSivp	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitErrorTests.swift#testErrorHashable	hashValue distinct across cases.
s:16AdAttributionKit13AppImpressionV	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitImpressionTests.swift#testAppImpressionTypeIdentity	Nominal type compiles; public init never returns an instance.
s:16AdAttributionKit13AppImpressionV10compactJWSACSS_tYaKcfc	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitImpressionTests.swift#testInitCompactJWSClassifiesAndRejects	Classifies compact JWS then always throws; never verifies ES256.
s:16AdAttributionKit13AppImpressionV11adNetworkIDSSvp	declared	source:full/adattributionkit/AdAttributionKit.swift#adNetworkID	Unreachable without a verified AppImpression.
s:16AdAttributionKit13AppImpressionV11isSupportedSbvpZ	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitImpressionTests.swift#testAppImpressionUnsupported	Linux reports false; no Apple impression service.
s:16AdAttributionKit13AppImpressionV15publisherItemIDs6UInt64Vvp	declared	source:full/adattributionkit/AdAttributionKit.swift#publisherItemID	Unreachable without a verified AppImpression.
s:16AdAttributionKit13AppImpressionV16advertisedItemIDs6UInt64Vvp	declared	source:full/adattributionkit/AdAttributionKit.swift#advertisedItemID	Unreachable without a verified AppImpression.
s:16AdAttributionKit13AppImpressionV23eligibleForReengagementSbvp	declared	source:full/adattributionkit/AdAttributionKit.swift#eligibleForReengagement	Unreachable without a verified AppImpression.
s:16AdAttributionKit13AppImpressionV24compactJWSRepresentationSSvp	declared	source:full/adattributionkit/AdAttributionKit.swift#compactJWSRepresentation	Unreachable without a verified AppImpression.
s:16AdAttributionKit13AppImpressionV2IDa	implemented	test:full/adattributionkit/tests/agent/AdAttributionKitImpressionTests.swift#testAppImpressionIDType	typealias ID = UUID.
s:16AdAttributionKit13AppImpressionV2eeoiySbAC_ACtFZ	declared	source:full/adattributionkit/AdAttributionKit.swift#AppImpression	Unreachable without a verified AppImpression.
s:16AdAttributionKit13AppImpressionV2id10Foundation4UUIDVvp	declared	source:full/adattributionkit/AdAttributionKit.swift#id	Unreachable without a verified AppImpression.
s:16AdAttributionKit13AppImpressionV4hash4intoys6HasherVz_tF	declared	source:full/adattributionkit/AdAttributionKit.swift#Hashable	Unreachable without a verified AppImpression.
s:16AdAttributionKit13AppImpressionV5keyIDSSvp	declared	source:full/adattributionkit/AdAttributionKit.swift#keyID	Unreachable without a verified AppImpression.
s:16AdAttributionKit13AppImpressionV7endViewyyYaKF	declared	source:full/adattributionkit/AdAttributionKit.swift#endView	Unreachable without a verified AppImpression.
s:16AdAttributionKit13AppImpressionV8sourceIDSivp	declared	source:full/adattributionkit/AdAttributionKit.swift#sourceID	Unreachable without a verified AppImpression.
s:16AdAttributionKit13AppImpressionV9beginViewyyYaKF	declared	source:full/adattributionkit/AdAttributionKit.swift#beginView	Unreachable without a verified AppImpression.
s:16AdAttributionKit13AppImpressionV9handleTap15reengagementURLy10Foundation0I0V_tYaKF	declared	source:full/adattributionkit/AdAttributionKit.swift#handleTap	Unreachable without a verified AppImpression.
s:16AdAttributionKit13AppImpressionV9handleTapyyYaKF	declared	source:full/adattributionkit/AdAttributionKit.swift#handleTap	Unreachable without a verified AppImpression.
