precise	question	risk	reason
s:13MatterSupport0A16AddDeviceRequestV7performyyYaKF	What error identity, domain, and code does Apple throw from MatterAddDeviceRequest.perform() when the commissioning UI cannot be presented, the user cancels, or the process lacks the Matter setup-payload entitlement?	ui	Linux fail-closed throws MatterSupportError; Apple's thrown type is not in the public symbol graph and must not be guessed.
s:13MatterSupport0A16AddDeviceRequestV11isSupportedSbvpZ	On which iOS/macOS versions and hardware/entitlement combinations is MatterAddDeviceRequest.isSupported true, and does a false value still allow constructing the request?	commissioning	The Linux port always returns false; Apple's runtime gate is not recorded in the pinned corpus.
s:13MatterSupport0A16AddDeviceRequestV4fromACs7Decoder_p_tKcfc	What keyed-container layout and setupPayload encoding does Apple use for MatterAddDeviceRequest Codable, including a non-nil MTRSetupPayload?	fail-closed	This port omits setupPayload from Codable and uses a local JSON layout for the remaining fields.
s:13MatterSupport0A16AddDeviceRequestV0D8CriteriaO6encode2toys7Encoder_p_tKF	Does Apple's DeviceCriteria Codable use synthesized case-name keys, a private discriminator, or another wire format for recursive any/all/not cases?	smart-home	Local Swift synthesis is used for round-trip only; Apple encoding is unobserved.
s:13MatterSupport0A32AddDeviceExtensionRequestHandlerC08validateD10CredentialyyAC0dI0VYaKF	Does the un-overridden Apple base implementation of validateDeviceCredential succeed as a no-op after built-in attestation, or can it throw, and with what error?	commissioning	Documentation says leave it unimplemented when no extra checks are needed, but Linux has no Apple attestation pipeline so the port throws.
s:13MatterSupport0A32AddDeviceExtensionRequestHandlerC17selectWiFiNetwork4fromAC0ijK11AssociationVSayAC0iJ10ScanResultVG_tYaKF	Does Apple's default selectWiFiNetwork return defaultSystemNetwork, throw, or require an override, and does returning defaultSystemNetwork ever copy Wi-Fi credentials off-device?	fail-closed	Linux throws instead of claiming a system network; credential handling is an entitlement/privacy question.
s:13MatterSupport0A32AddDeviceExtensionRequestHandlerC19selectThreadNetwork4fromAC0iJ11AssociationVSayAC0I10ScanResultVG_tYaKF	Does Apple's default selectThreadNetwork return defaultSystemNetwork after reading THClient preferred-network credentials, and what happens if the store is empty?	smart-home	ThreadNetwork credential-store behavior is not in the MatterSupport graph.
s:13MatterSupport0A32AddDeviceExtensionRequestHandlerC010commissionD02in17onboardingPayload15commissioningIDyAA0acdF0V4HomeVSg_SS10Foundation4UUIDVtYaKF	What error does Apple throw if commissionDevice is not overridden, and what onboarding-payload syntax and commissioningID lifetime does the system actually pass?	commissioning	Base-class failure mode and payload format are not in the public graph.
s:13MatterSupport0A32AddDeviceExtensionRequestHandlerC22WiFiNetworkAssociationV6encode2toys7Encoder_p_tKF	How does Apple encode WiFiNetworkAssociation.defaultSystemNetwork versus network(ssid:credentials:), and are credentials present in the encoded form?	fail-closed	A local kind/ssid/credentials layout is used; Apple's encoding and whether credentials are serialized are unobserved.
module	Should Linux MatterSupport re-export a future Matter module's MTRSetupPayload, MTRNetworkCommissioningWiFiSecurity, and MTRNetworkCommissioningWiFiBand instead of the local stand-in types once Matter is ported?	smart-home	The host gate compiles MatterSupport in isolation, so Matter types currently live in this module as ABI-incompatible stand-ins.
