precise	question	risk	reason
module	What is the Apple runtime value of AUDIO_TOOLBOX_VERSION / kAudioToolboxVersion on iPhoneOS 26.1, and which headers actually export it?	c-abi	The pinned graphs and TBD exports do not establish a version macro payload; fabricating AUDIO_TOOLBOX_VERSION would be a guess.
c:@F@AudioComponentInstantiate	Does AudioComponentInstantiate invoke its completion on the calling thread, a dedicated AudioComponent queue, or the process main queue, and is it exactly-once after cancellation?	callbacks	Static overlays document the signature only. Completion queue, cancellation races, and exactly-once delivery require a central Apple-oracle probe.
c:@F@AudioServicesPlaySystemSound	On iPhoneOS 26.1, is kSystemSoundID_Vibrate (4095) a silent no-op, a haptic event, or a routed alert, and is the completion proc invoked before, after, or instead of playback when no I/O unit exists?	fail-closed	Linux delivers the completion immediately and never vibrates. Apple ordering versus haptic fallback is not in the public graphs.
c:@F@AudioQueueStart	When AudioQueueNewOutput succeeds with PCM but no output device exists, does AudioQueueStart return 0 and still invoke output callbacks, or does it return kAudioQueueErr_InvalidDevice / CannotStart?	realtime	This port starts an offline clock and invokes callbacks without hardware. Device selection and callback timing on iOS remain unobserved.
c:@T@AURenderBlock	What is the real-time contract for AURenderBlock regarding allocation, locks, and AudioBufferList aliasing across input pull and output render?	realtime	Render-block ABI depends on CoreAudioTypes AudioBufferList/AudioTimeStamp owned outside this module. Behavior cannot be claimed from bindings.
c:@F@AudioConverterNew	Does AudioConverterNew require bit-identical AudioStreamBasicDescription identity from CoreAudioTypes, including packed linear PCM packed flags, or do converter implementations accept a subset of filled-in fields?	audio	Isolated Linux overlays a 40-byte blob because CoreAudioTypes is absent. Bit-identity versus filled-in PCM fields needs an ARM64 product probe.
c:@F@MusicPlayerStart	Does MusicPlayerStart require an AUGraph/output AU, and which OSStatus is returned when the graph cannot start on iOS 26.1?	audio	This port starts an offline tempo clock with no AU. The Apple code for a sequence without an output unit is not in the public graphs.
c:@F@AudioUnitRender	For kAudioUnitSubType_GenericOutput with no input connection, does AudioUnitRender return silence with unitRenderAction_OutputIsSilence set, or require a render callback / pull connection first?	buffer-ownership	This port zeros the output buffer and sets the silence flag. Apple's GenericOutput pull contract is not recorded in the compact graphs.
c:@F@AudioConverterConvertBuffer	Does Apple's linear sample-rate converter match destFrames=floor((srcFrames-1)*destRate/srcRate)+1 with nearest-neighbor-free linear interpolation, or does kAudioConverterSampleRateConverterComplexity_Linear use a different phase/filter?	audio	This host interpolates PCM at the stated formula and tests 1 Hz -> 2 Hz hand-computed [0, 0.5, 1]. Apple's SRC phase, latency, and quality modes are not in the public graphs.
c:@F@AUGraphIsRunning	Does AUGraphIsRunning write a DarwinBoolean (Boolean / UInt8 overlay) or a C++ bool, and is a started graph with no output hardware considered running on iOS 26.1?	c-abi	This port writes UInt8 0/1 and treats software graphs as running without a device. DarwinBoolean vs Bool layout needs an ARM64 probe.
c:@S@AUNodeInteraction	What is the exact C layout of AUNodeInteraction's unnamed union (connection versus input callback), including padding and AUNode field widths?	c-abi	This host flattens the union into named fields. Copying Apple's unnamed-union overlay without a dump would be a guess.
c:@F@AudioFileStreamParseBytes	When ParseBytes is fed an incomplete but magic-valid WAV/AIFF/CAF prefix, does Apple return 0 (need more data), kAudioFileStreamError_DataUnavailable, or a file-type error?	audio	This host returns 0 until a complete PCM container parses. Incremental OSStatus on truncated headers is not recorded in the graphs.
